,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,new_or_old,parking,furnished_status,lift,type_of_building
227,18000000,1296,19.149900436401367,72.93113708496094,3,3,1,1,0,1,2,1,1
229,19000000,1150,19.181124,72.839798,2,2,1,1,0,1,-1,1,1
230,17000000,980,19.2081479,72.8784717,3,2,0,1,0,0,-1,0,2
231,14400000,890,19.115683,72.90400600000001,2,2,0,1,0,0,-1,0,1
232,16500000,1029,19.202228,72.815271,2,2,2,1,0,2,-1,2,1
233,30000000,1400,19.07658768,72.86424255,3,3,0,1,0,0,0,0,1
234,22000000,1136,19.07907,72.907976,2,2,0,1,0,0,0,0,1
235,18500000,998,19.122307,72.89599270000001,2,2,0,1,0,0,-1,0,1
239,15000000,740,19.11940574645996,72.86394500732422,2,2,0,1,0,0,2,0,1
240,27500000,1220,19.2050017,72.86927109999999,2,2,0,1,0,0,-1,0,1
241,26500000,750,19.070470809936523,72.84949493408203,2,2,1,-1,0,1,0,1,1
242,20200000,1050,19.13662,72.93666999999999,3,2,1,1,0,1,0,1,1
247,18000000,998,19.122307,72.89599270000001,2,2,0,1,0,0,-1,0,1
248,25000000,1000,19.039151500000003,72.84047029999999,2,2,1,1,0,1,-1,1,1
250,20000000,862,19.0495063,72.888042,2,2,2,1,0,2,-1,2,1
251,24000000,1143,19.097765,72.916827,2,2,0,1,0,0,-1,0,1
254,19000000,1350,19.2539332,72.8672448,3,3,0,1,0,0,0,0,1
256,22500000,1091,19.119198,72.894366,2,2,1,1,0,1,-1,1,1
257,22500000,1250,19.212571,72.87352170000001,3,3,1,1,0,1,-1,1,1
258,19500000,702,19.11892318725586,72.86404418945312,2,2,0,1,0,0,1,0,1
259,26000000,1100,19.14724,72.84012,2,2,0,1,0,0,2,0,1
260,16500000,1120,19.11913108825684,72.86412048339844,2,2,0,1,0,0,0,0,1
262,24000000,1530,19.25650405883789,72.85124206542969,3,3,0,1,0,0,0,0,1
265,24000000,1550,19.17100978,72.87098943,2,2,1,1,0,1,-1,1,1
267,33000000,1350,19.039152145385746,72.84046936035156,2,2,0,1,0,0,0,0,1
269,29900000,1080,19.119348526000977,72.86434173583984,2,2,2,1,0,2,1,2,1
270,19500000,1020,19.11890983581543,72.86436462402344,3,2,0,1,0,0,1,0,1
271,17000000,800,19.03367042541504,72.8572998046875,2,2,0,1,0,0,2,0,1
272,23000000,1050,19.12842,72.81988,2,2,0,1,0,0,0,0,1
274,16500000,1050,19.115297,72.839762,2,2,1,1,1,1,-1,1,1
276,34000000,1370,19.080942153930664,72.89234161376953,3,3,1,1,0,1,1,1,1
277,29000000,1500,19.119234085083008,72.86463928222656,4,4,2,1,0,2,1,2,1
278,38000000,815,19.119285583496094,72.86461639404297,2,2,0,1,0,0,0,0,1
279,15000000,960,19.16434669494629,72.93975830078125,2,2,2,1,0,2,0,2,1
281,42000000,1250,18.9457243,72.82376049999999,3,3,0,1,0,0,-1,0,1
283,25900000,924,19.119190216064453,72.86400604248047,2,2,0,1,1,0,2,0,1
284,20500000,1150,19.20999526977539,72.86675262451172,2,2,1,1,1,1,0,1,1
285,17500000,1090,19.196454,72.87059351452841,2,2,2,1,0,2,-1,2,1
286,13500000,712,19.146211624145508,72.8534927368164,2,2,1,1,0,1,1,1,1
287,30000000,1400,19.2273315,72.8637286,3,3,0,1,0,0,-1,0,1
288,25500000,951,19.092819213867188,72.91316223144531,2,2,0,1,0,0,0,0,2
289,25000000,1030,19.154186,72.946437,3,2,1,1,0,1,1,1,2
290,32000000,1970,19.149089,72.836862,3,3,0,-1,0,0,1,0,1
291,16000000,1650,19.21388435363769,72.85501861572266,4,3,1,1,0,1,1,1,1
292,55300000,1803,19.1210474171554,72.9175910576415,3,3,2,1,1,2,-1,2,1
295,31600000,1273,19.1384391784668,72.81218719482422,2,2,0,1,1,0,0,0,1
298,29900000,1315,19.02222,72.866564,3,3,0,1,0,0,-1,0,1
301,21000000,1150,19.12998,72.933221,2,2,1,1,0,1,-1,1,2
302,42000000,950,19.119272232055664,72.8646011352539,2,2,1,1,0,1,0,1,1
304,45000000,1350,18.963298797607425,72.84329223632812,3,3,0,1,0,0,2,0,1
305,26000000,1250,19.237241,72.84132779999999,3,2,0,1,0,0,-1,0,1
308,17000000,795,19.2142355,72.87615140000001,2,2,0,1,0,0,-1,0,1
309,15000000,1017,19.16703502,72.88127374,2,2,0,1,0,0,-1,0,1
310,26000000,1090,19.11632,72.859021,2,2,0,1,0,0,-1,0,1
311,39000000,1350,19.006180342037,72.8286779623475,2,2,0,1,0,0,-1,0,1
312,14500000,850,19.2139835357666,72.85508728027344,2,2,0,1,0,0,2,0,1
313,15000000,634,19.136642456054688,72.93113708496094,2,2,0,1,0,0,0,0,1
314,14500000,811,19.119184494018555,72.86463165283203,2,2,0,1,0,0,1,0,1
315,34500000,1400,19.072062439164696,72.89579820902141,3,3,2,1,1,2,-1,2,1
316,38500000,1112,19.0815087,72.8376755,2,2,1,1,0,1,-1,1,1
318,23000000,1200,19.2056827545166,72.83207702636719,3,3,1,1,0,1,0,1,1
320,20000000,750,19.1489315032959,72.84001922607422,2,2,1,1,0,1,2,1,1
321,14500000,925,19.1545,72.93119,2,2,0,1,0,0,1,0,1
322,11000000,920,19.058354100000003,72.8802798,2,2,2,1,0,2,-1,2,1
